Time (seconds),sample-id,temp,light,sound-level,acc-x,acc-y,acc-z,compass-heading
69.44,0,30,0,18,-88,-516,-892,48
72.92,1,30,0,11,-136,-120,-1008,127
102.95,2,30,0,30,-128,-284,-976,122
132.94,3,31,0,33,-136,-324,-952,124
162.94,4,31,0,41,-132,-396,-944,119
192.94,5,31,0,22,-120,-304,-980,105
222.94,6,30,0,22,-96,-480,-904,121
252.94,7,30,0,33,-92,-372,-980,126
282.93,8,30,0,41,-88,-568,-848,122
312.93,9,30,0,37,-84,-528,-888,120
342.93,10,30,0,33,-84,-524,-884,121
372.93,11,31,0,33,-104,-564,-844,124
402.93,12,30,0,33,-56,-496,-896,121
432.92,13,30,0,30,-48,-540,-872,122
462.95,14,30,0,7,-92,-512,-896,120
492.94,15,30,0,56,4,-132,-1004,29
522.94,16,30,0,63,-72,-504,-892,119
2052.94,17,31,0,52,428,-840,-848,100
2082.93,18,30,0,33,-860,-984,576,131
2112.93,19,29,0,78,-724,-268,-288,121
2142.93,20,29,104,30,164,-912,-344,31
2172.93,21,29,0,90,244,-1716,-256,137
2202.93,22,29,98,37,12,-976,300,163
2232.92,23,29,0,30,-576,-464,552,145
2262.95,24,29,158,52,820,-460,-320,242
2292.94,25,29,0,22,-1036,-4,-52,304
2322.94,26,28,0,93,-860,-1456,212,131
2352.94,27,27,0,41,-140,-980,-104,285
2382.94,28,28,147,86,52,-1216,-444,301
2412.94,29,28,0,41,-1020,-240,-192,89
2442.93,30,28,0,45,-4,-984,248,157
3012.94,31,30,0,71,-248,392,-908,198
3042.94,32,30,0,78,464,180,-920,48
3072.94,33,30,0,78,-1260,-20,-152,293
3102.94,34,30,0,135,152,-808,-660,191
3132.94,35,30,0,75,-1052,-244,-100,189
3162.93,36,30,0,97,-1060,-148,0,233
3192.93,37,30,0,101,-1064,-212,-108,194
3222.93,38,30,0,18,-1052,-228,-72,204
3252.93,39,30,0,138,-520,-128,-816,173
3282.93,40,30,0,90,-1116,-236,-92,178
3312.92,41,30,0,26,-1072,-216,-16,239
3342.95,42,30,0,22,-1056,-128,-36,199
3372.94,43,30,0,30,-1032,-164,-184,191
3402.94,44,30,0,90,-1056,-260,-72,192
3432.94,45,30,0,97,-1036,-204,-148,229
3462.94,46,30,0,30,-1044,-240,-12,198
3492.94,47,30,0,63,-996,-196,-112,217
